new_id,old_id,name
763,1624,Military faction (forces of Himmler Rebu and Guy Francois)
764,1625,Military faction (forces of Raol Cdras)
765,1626,FLRN
766,1627,OP Lavalas (Chimres)
767,1628,EZLN
768,1629,EPR
769,1630,al-Qaida
770,1631,ACCU
771,1632,AUC
772,1633,Comando Vermelho
773,1634,Huaorani
774,1635,Medelln Cartel
775,1636,Sinaloa Cartel
776,1637,Mara 18 (Guatemala)
777,1638,Mara Salvatrucha (Guatemala)
778,1639,Mara Salvatrucha (Honduras)
779,1640,Paz y Justicia
780,1641,Tagaeri
781,1642,Terceiro Comando
782,1643,Gulf Cartel
783,1644,1920 Revolution Brigades
784,1645,MJF
785,1646,DKBA
786,1647,Palipehutu-FNL - LP
787,1648,Lashkhar of Wazir tribe
788,1649,JVA faction
789,1650,RCD-K-ML
790,1651,Bangesh
791,1652,Turi
792,1653,Forces of Shah Sahib
793,1654,Juarez Cartel
794,1655,Kachai sub-tribe of Bangesh
795,1656,Mishti
796,1657,Lashkar of Salarzai tribe
797,1658,Mangal
798,1659,NSCN-U
799,1660,Tijuana Cartel
800,1661,Tijuana Cartel - El Teo faction
801,1662,Hizb-i Wahdat - Akbari faction
802,1663,Jamiat-ul-Dawa
803,1664,Shura-yi Nazar-i Shomali
804,1665,BCP
805,1666,PBCP
806,1667,Qaqachaca
807,1668,Laime
808,1669,Hells Angels
809,1670,Rock Machine
810,1671,Cali Cartel
811,1672,PEPES
812,1673,Forest Brothers
813,1674,White Legion
814,1675,Bodo
815,1676,Santhal
816,1677,HuM
817,1678,JKLF
818,1679,Naga
819,1680,Dayak
820,1681,Madurese
821,1682,Dereiat
822,1683,al-Shaman
823,1684,IMK
824,1685,Supporters of JLP
825,1686,Supporters of PNP
826,1687,Fatah Revolutionary Council
827,1688,SLA
828,1689,Garcia clan
829,1690,Pena Rojas clan
830,1691,MDA
831,1692,MDA - LM
832,1693,MQM-H
833,1696,Wagia subclan of Takima
834,1697,Wayai subclan of Takima
835,1698,Wogia-Tunjup
836,1699,Unjamap
837,1700,Hadji Faizal Abdulkarim clan
838,1701,Hadji Masir Ahalul clan
839,1702,Azeri
840,1703,Armenian
841,1704,Forces of Ruslan Labazanov
842,1705,Provisional Council of the Chechen Republic
843,1706,Republic of Georgia
844,1708,PLOTE
845,1710,Republic of Bosnia-Herzegovina
846,1711,"SAO Eastern Slavonia, Baranja and Western Symria"
847,1712,SAO Krajina
848,1713,Forces of Jing Caludtiag
849,1714,Forces of Randy Karon
850,1715,Supporters of Jean-Bertrand Aristide
851,1716,Supporters of Roger Lafontant
852,1717,Meskhetian Turk
853,1718,Uzbek
854,1719,Kyrgyz
856,1721,Taleban - Ali Dad faction
857,1722,Taleban - Mola Khel faction
858,1723,Hindus (India)
859,1724,Muslims (India)
860,1725,Christians (Indonesia)
861,1726,Muslims (Indonesia)
862,1727,Erapo
863,1728,Kurupi
864,1729,Ataia
865,1730,Kagu
866,1731,Moife
867,1732,Kemeyu
868,1733,Fomu I
869,1734,Fomu II
870,1735,Avaninofi
871,1736,Aganunofi
872,1737,Christians (Philippines)
873,1738,Muslims (Philippines)
874,1739,Supporters of UNP
875,1740,Supporters of PA
876,1741,Santo Domingo Teojomulco
877,1742,Santiago Xochiltepec
878,1743,Paite
879,1744,PSP
880,1746,MNDAA
881,1747,AQAP
882,1748,Ampatuan militia
883,1749,DHD
884,1750,KRA
885,1751,HPC
886,1752,AAH
887,1753,Lashkar of Orakzai tribe
888,1754,Forces of Turkestan Bhittani
889,1756,LNUP
890,1757,KNUP
891,1758,Xawaadle clan (Hawiye)
892,1759,Andani
893,1760,Supporters of ACN
894,1761,Ahlu Sunna Waljamaca
895,1762,Bangadi Militia
896,1763,PARECO
897,1764,Gaadsan subclan of Biimaal clan (Dir)
898,1765,Ma'alin Weyne subclan of Mirifle clan (Digil-Mirifle)
899,1766,Gumuz
900,1767,Hol Dinka
901,1768,Luo
902,1769,MDF
903,1770,GIA - El Ahd Battalion
904,1771,GIA - El Forkane
905,1772,Bafanji
906,1773,Balikumbat
907,1774,Banya
908,1775,Foulbe
909,1776,Kotoko
910,1777,Choa Arab
911,1780,Oulad Rachid
912,1781,Khozam
913,1782,MPA - SOC
914,1783,Hunde
915,1784,Hutu
916,1785,Amhara
917,1786,Arbore
918,1787,Degodia
919,1788,Derashe
920,1789,Zeyle
921,1790,Gedeo
922,1791,Rer Liban subclan (Issaq)
923,1792,Rer Samatar subclan of Habr Awal (Issaq)
924,1793,Ajuran
925,1794,Samburu
926,1795,Kikuyu
927,1796,Kisii
928,1797,Luhya
929,1798,Marakwet
930,1799,Nandi
931,1800,Orma
932,1801,Wardei
933,1802,Pokomo
934,1803,FPLA
935,1804,ARLA
937,1806,Touareg
938,1807,Naparama
939,1808,Adoni
940,1811,Azara
941,1812,Efik
942,1813,Ibibio
943,1814,Wurukum
944,1815,Afisare
945,1816,Ninzam
946,1817,Ife
947,1818,Modakeke
948,1819,Ilaje
949,1820,Urhobo
950,1821,Jukun
951,1822,Karimjo
952,1823,Kwala
953,1824,Odtikas
954,1825,Ndoki
955,1826,Eleme
956,1827,Umuleri
957,1828,Aguleri
958,1829,Abdalle subclan of Habar Awal clan (Isaaq)
959,1830,Aidagalla subclan of Habar Garhadjis clan (Isaaq)
960,1831,Abdalleh-Agon-Yar subclan of Abgal clan (Hawiye)
961,1832,Eli-Agon-Yar subclan of Abgal clan (Hawiye)
962,1833,Abdulleh-Galmaha subclan of Abgal clan (Hawiye)
963,1834,Kabaloh subclan of Abgal clan (Hawiye)
964,1835,Galgalo
965,1837,Forces of Omar Jess
966,1838,Ayr subclan of Habar Gidir clan (Hawiye)
967,1839,Eli-Omar subclan of Abgal clan (Hawiye)
968,1840,Abdalle-Aroneh subclan of Abgal clan (Hawiye)
969,1841,Forces of Abdirizak Bihi
970,1842,Forces of Ahmed Sheikh Buraleh
971,1843,Forces of Hussein Ali Ahmed
972,1846,Forces of Abdurahman Ahmed Ali 'Tur'
973,1851,SNF - MSAB
974,1852,SPM/SNA
975,1853,DSA
976,1854,USC/SNA - OA
977,1855,USC-PM
978,1856,ANC - 'Greens'
979,1857,ANC - 'Reds'
980,1858,Supporters of AZAPO
981,1859,Codeta
982,1860,CATA
983,1861,Supporters of UDF
984,1862,Mangweni clan
985,1863,Mgodini clan
986,1864,Supporters of UDM
987,1865,Uwusa
988,1866,NUM
